,code
61,HER_10061.t1:Sp-PppL_140
62,HER_10062.t1_HER_10064.t1:Sp-Gnrhr
63,HER_10066.t1:Sp-Cpp
64,HER_10067.t1:Sp-TpaseL_21
65,HER_10069.t1:Sp-Hypp_1459
66,HER_10073.t1:Sp-Shc1_2
67,HER_10074.t1:Sp-Hsd17b4
68,HER_10075.t1:Sp-Hypp_977
69,HER_10076.t1:Sp-Gpr103
70,HER_10077.t1:Sp-Fut4_4
71,HER_10081.t1:Sp-Hypp_977
72,HER_10082.t1:Sp-Lztr1
73,HER_10083.t1:none
74,HER_10084.t1:Sp-Hypp_977
75,HER_10085.t1:none
76,HER_10086.t1:Sp-Hypp_650
77,HER_10088.t1:Sp-Hypp_977
78,HER_10089.t1:Sp-Hypp_977
79,HER_10091.t1:Sp-Hypp_977
80,HER_10092.t1:Sp-Hypp_977
81,HER_10093.t1:Sp-Hypp_977
82,HER_10094.t1:Sp-Hypp_977
83,HER_10096.t1:Sp-Hypp_977
84,HER_10099.t1:Sp-Hypp_977
85,HER_1010.t1:Sp-PppL_162
86,HER_10100.t1:Sp-Hypp_977
87,HER_10102.t1:Sp-Hypp_977
88,HER_10104.t1:Sp-Hypp_977
89,HER_10105.t1:Sp-Hypp_977
90,HER_10106.t1:Sp-Hypp_977
91,HER_10107.t1:Sp-Hypp_977
92,HER_10108.t1:Sp-Hypp_977
93,HER_10109.t1:Sp-Kirrel2L_4
94,HER_1011.t1:none
95,HER_10110.t1:Sp-Ubap1L
96,HER_10111.t1:Sp-Fxn
97,HER_10112.t1:none
98,HER_10113.t1:Sp-Hypp_2601
99,HER_10114.t1:Sp-Rt4
100,HER_10116.t1:Sp-Hcrtr2L_1
101,HER_10117.t1:Sp-Arrdc3_1
102,HER_10118.t1:none
103,HER_1012.t1:none
104,HER_10123.t1:Sp-Hypp_1796
105,HER_10124.t1:Sp-Hypp_64
106,HER_10125.t1:none
107,HER_10126.t1:none
108,HER_10127.t1:none
109,HER_1013.t1:none
110,HER_10133.t1:Sp-Hypp_1796
111,HER_10134.t1:Sp-Hypp_64
112,HER_10135.t1:Sp-Bpr
113,HER_10136.t1:Sp-Ubl7
114,HER_10138.t1:Sp-Bind1
115,HER_10139.t1:Sp-Hypp_1804
116,HER_1014.t1:Sp-Pitpna_1
117,HER_10140.t1:none
118,HER_10141.t1:Sp-Bpr
119,HER_10142.t1:Sp-Ubl7
120,HER_10145.t1:Sp-Bind1
121,HER_10147.t1:Sp-Hypp_1804
122,HER_10148.t1:none
123,HER_1015.t1:Sp-Opo
124,HER_10150.t1:Sp-Stir
125,HER_10151.t1:Sp-Mak10
126,HER_10152.t1:Sp-Lonrf3
127,HER_10153.t1:none
128,HER_10154.t1:Sp-Atp5a1
129,HER_10155.t1:Sp-Ddx59_1
130,HER_10156.t1:Sp-Chrna9_3
131,HER_10156.t2:Sp-Chrna9_3
132,HER_10156.t3:Sp-Chrna9_3
133,HER_10156.t4:Sp-Chrna9_3
134,HER_10157.t1:Sp-Taut
135,HER_10158.t1:Sp-Hypp_2701
136,HER_1016.t1:Sp-EhH2b_88
137,HER_10160.t1:Sp-Hypp_2457
138,HER_10161.t1:Sp-Wbscr27
139,HER_10162.t1:Sp-Kiaa1529L_1
140,HER_10163.t1:none
141,HER_10164.t1:Sp-Ccp_1
142,HER_10166.t1:Sp-Hypp_1085
143,HER_10167.t1:Sp-Atp/Gtpbp1
144,HER_10168.t1:Sp-Vstc/GnrhLr
145,HER_1017.t1:Sp-Hypp_1531
146,HER_10172.t1:none
147,HER_10173.t1:Sp-Hypp_586
148,HER_10174.t1:Sp-Syt4
149,HER_10175.t1:Sp-Rit1
150,HER_10176.t1:none
151,HER_10177.t1:Sp-Cactin
152,HER_10178.t1:Sp-Lines
153,HER_10179.t1:Sp-Med30
154,HER_1018.t1:Sp-Rrp22_1
155,HER_10180.t1:Sp-Duoxa1
156,HER_10181.t1:Sp-Do1(Udx1)
157,HER_10182.t1:Sp-Udx2
158,HER_10183.t1:Sp-Duoxa1
159,HER_10183.t2:Sp-Duoxa1
160,HER_10184.t1:none
161,HER_10185.t1:Sp-B3galt5_1
162,HER_10185.t2:Sp-B3galt5_1
163,HER_10186.t1:Sp-B3galt1
164,HER_10187.t1:Sp-B3galt1
165,HER_10189.t1:none
166,HER_10190.t1:Sp-B3galt1_1
167,HER_10191.t1:Sp-Spg11_1
168,HER_10192.t1:Sp-Eif3j
169,HER_10193.t1_HER_10204.t1:Sp-Ptpn9
170,HER_10197.t1:Sp-Ptpn9
171,HER_10198.t1:Sp-BlmL
172,HER_1020.t1:Sp-IunhL
173,HER_10200.t1:Sp-Herc4-5
174,HER_10201.t1:Sp-Hypp_1349
175,HER_10205.t1:Sp-BlmL
176,HER_10206.t1:Sp-Gba2-2
177,HER_10207.t1:Sp-Timm44
178,HER_10208.t1:none
179,HER_10209.t1:Sp-Scnn1g_2
180,HER_1021.t1:none
181,HER_10210.t1:Sp-AsicL13
182,HER_10211.t1:Sp-AsicL13
183,HER_10212.t1:Sp-Scnn1L3
184,HER_10213.t1:Sp-Ttl13
185,HER_10214.t1:none
186,HER_10217.t1:Sp-Hypp_2235
187,HER_10218.t1:Sp-Zc3p26_2
188,HER_1022.t1:Sp-Smarcb1
189,HER_10220.t1:Sp-Hypp_507
190,HER_10221.t1:Sp-Ugt2b17
191,HER_10223.t1:Sp-Slc43a3_2
192,HER_10224.t1.1.5f2c6ce8:Sp-Hypp_2642
193,HER_10224.t1:Sp-Hypp_2642
194,HER_10225.t1:Sp-Ch25h
195,HER_10226.t1:Sp-TnfrsfL2
196,HER_10227.t1:Sp-Tnfrsf1a
197,HER_10228.t1:Sp-Tnfrsf1a
198,HER_10229.t1:Sp-C19orf28L
199,HER_1023.t1:Sp-Sarm
200,HER_10230.t1:Sp-Surreal/Gpcr4
201,HER_10231.t1:Sp-Surreal/Gpcr4
202,HER_10232.t1:Sp-Surreal/Gpcr4
203,HER_10233.t1:none
204,HER_10234.t1:none
205,HER_10235.t1:Sp-Surreal/Gpcr4
206,HER_10236.t1:Sp-Surreal/Gpcr5
207,HER_10237.t1:Sp-Surreal/Gpcr42
208,HER_10238.t1:Sp-Surreal/Gpcr5
209,HER_1024.t1:Sp-Hypp_346
210,HER_10241.t1:Sp-Surreal/Gpcr5
211,HER_10242.t1.1.5f2c6cc5:none
212,HER_10242.t1.2.5f2c6cc5:none
213,HER_10242.t1.3.5f2c6cc5:none
214,HER_10242.t1:none
215,HER_10245.t1:Sp-Psgp
216,HER_10246.t1:Sp-Hypp_264
217,HER_10250.t1:none
218,HER_10252.t1:none
219,HER_10253.t1:none
220,HER_10254.t1:none
221,HER_10255.t1:none
222,HER_10256.t1:none
223,HER_1026.t1:Sp-PppL_162
224,HER_10260.t1:Sp-Reep5
225,HER_10260.t2:Sp-Reep5
226,HER_10261.t1:Sp-Ppp1r7
227,HER_10262.t1:Sp-Ikbkap
228,HER_10263.t1.1.5f2c6cc5:none
229,HER_10263.t1.2.5f2c6cc5:none
230,HER_10263.t1:none
231,HER_10265.t1:Sp-Hypp_287
232,HER_10265.t2:Sp-Hypp_287
233,HER_10266.t1:Sp-Css2
234,HER_10267.t1:Sp-Chsy1
235,HER_10268.t1:Sp-Chsy1
236,HER_10269.t1:Sp-Eftud1L1
237,HER_1027.t1:none
238,HER_10270.t1:none
239,HER_10271.t1:Sp-Kirrel2L
240,HER_10274.t1:Sp-Kirrel2L
241,HER_10275.t1:Sp-Galr2L_6
242,HER_10276.t1:Sp-Kirrel2L
243,HER_10277.t1:Sp-Kirrel2L
244,HER_10278.t1:Sp-Kirrel2L
245,HER_10279.t1.1.5f2c6cc6:Sp-MyIph
246,HER_10279.t1:Sp-MyIph
247,HER_1028.t1:none
248,HER_1028.t2:none
249,HER_10280.t1:Sp-Af9
250,HER_10281.t1:Sp-Fbp2
251,HER_10282.t1:Sp-C3orf38L
252,HER_10283.t1_HER_10284.t1:Sp-Slc8a1
253,HER_10285.t1.1.5f2c6cc6:Sp-Hypp_2791
254,HER_10285.t1:Sp-Hypp_2791
255,HER_10286.t1:Sp-C15orf40L
256,HER_10288.t1:none
257,HER_1029.t1:none
258,HER_10290.t1:Sp-Ash1
259,HER_10290.t2:Sp-Ash1
260,HER_10290.t3:Sp-Ash1
261,HER_10291.t1:Sp-Hsd17b8
262,HER_10292.t1:Sp-March3
263,HER_10293.t1:none
264,HER_10294.t1:Sp-Mcl
265,HER_10295.t1:none
266,HER_10298.t1_HER_10297.t1:Sp-Slc24a2_1
267,HER_10299.t1:Sp-Hp_Loc81556L
268,HER_103.t1:Sp-Lrp4-2
269,HER_1030.t1:Sp-Pitpna_1
270,HER_10301.t1:Sp-Cope
271,HER_10302.t1:Sp-Hypp_2545
272,HER_10303.t1:none
273,HER_10304.t1:Sp-Z190
274,HER_10305.t1:Sp-Epb41l4A
275,HER_10306.t1:Sp-Hypp_2938
276,HER_10307.t1:Sp-Hypp_2938
277,HER_10308.t1:Sp-Hypp_2696
278,HER_1031.t1:Sp-Opo
279,HER_10312.t1:Sp-Endrvt42
280,HER_10312.t2:Sp-Endrvt42
281,HER_10313.t1_HER_10314.t1:Sp-Hypp_2938
282,HER_10315.t1:Sp-Hypp_2696
283,HER_10316.t2:Sp-Rvt/Exn/End/Pplp_1
284,HER_10319.t1:Sp-Hypp_182
285,HER_1032.t1:none
286,HER_10320.t1:Sp-Endrvt42
287,HER_10321.t1:Sp-Hypp_2938
288,HER_10322.t1:Sp-Hypp_2938
289,HER_10323.t1:Sp-Hypp_2696
290,HER_10324.t1:Sp-Hypp_2938
291,HER_10325.t1:Sp-Arih1
292,HER_10326.t1:Sp-Cox5a
293,HER_10327.t1:none
294,HER_10328.t1:Sp-Mef2
295,HER_10329.t1:none
296,HER_1033.t1:Sp-Hypp_1531
297,HER_10330.t1:Sp-Hypp_2656
298,HER_10331.t1:none
299,HER_10332.t1:Sp-Abp34L
300,HER_10333.t1:Sp-Mamdc2-5
301,HER_10334.t1:Sp-Hypp_816
302,HER_10335.t1:Sp-Ars
303,HER_10336.t1:Sp-EllL
304,HER_10337.t1:Sp-C2orf18L
305,HER_10338.t1:Sp-Rgs9bp
306,HER_10340.t1:Sp-Hypp_2086
307,HER_10341.t1:Sp-Hypp_2087
308,HER_10342.t1:Sp-Papd4
309,HER_10343.t1:Sp-Smc6-2
310,HER_10344.t1:Sp-EgfiL_3
311,HER_10345.t1:Sp-Smc6-3
312,HER_10346.t1:none
313,HER_10347.t1:none
314,HER_10348.t1:Sp-Smc6
315,HER_10349.t1:Sp-Isl
316,HER_1035.t1:Sp-Rrp22_1
317,HER_10352.t1:Sp-Scaper
318,HER_10352.t2:Sp-Scaper
319,HER_10353.t1:Sp-Z304
320,HER_10354.t1:none
321,HER_10356.t1:Sp-Hypp_1194
322,HER_10357.t1:Sp-Fastkd5
323,HER_10358.t1:Sp-Stoml2_1
324,HER_10359.t1:Sp-Rad30
325,HER_10360.t1:none
326,HER_10361.t1:Sp-Frmd3
327,HER_10363.t1:Sp-Glra1
328,HER_10364.t1:Sp-Klf13
329,HER_10365.t1:Sp-Nlr117
330,HER_10366.t1:Sp-Nlr117
331,HER_10367.t1_HER_10368.t1:Sp-Msh3
332,HER_10369.t1.1.5f2c6cc8:none
333,HER_10369.t1:none
334,HER_1037.t1:Sp-Endrvt41
335,HER_10370.t1:none
336,HER_10371.t1:none
337,HER_10372.t1:Sp-Stard5
338,HER_10374.t1_HER_10375.t1:Sp-Gpr54_1
339,HER_10376.t1:Sp-Gpr54_1
340,HER_10378.t1:Sp-Tpase8
341,HER_10379.t1.1.5f2c6cc8.1.5f2d75b7:Sp-Adsda
342,HER_10379.t1.1.5f2c6cc8:Sp-Adsda
343,HER_10379.t1:Sp-Adsda
344,HER_1038.t1:Sp-IunhL
345,HER_10380.t1:none
346,HER_10381.t1:Sp-Hypp_2656
347,HER_10382.t1:Sp-Cycb
348,HER_10383.t1:none
349,HER_10384.t1:Sp-Hypp_130
350,HER_10385.t1:Sp-Cys_rich_fgfr_3
351,HER_10386.t1:Sp-Hypp_1860
352,HER_1039.t1_HER_1041.t1:none
353,HER_10392.t1:Sp-Zf(cchc)26_2
354,HER_10394.t1:Sp-Z36
355,HER_10395.t1_HER_10396.t1:Sp-WntA
356,HER_10398.t1:none
357,HER_10399.t1:Sp-MterfL
358,HER_104.t1:Sp-LrpL_7
359,HER_1040.t1:none
360,HER_10400.t1:Sp-C19orf45L
361,HER_10401.t1:Sp-Ndufa13_1
362,HER_10402.t1:Sp-Wdr60
363,HER_10403.t1:Sp-Cspg4L
364,HER_10404.t1:Sp-Syt6-2
365,HER_10405.t1:none
366,HER_10407.t1:Sp-Endrvt90
367,HER_10409.t1_HER_10411.t1_HER_10414.t1:Sp-Gba
368,HER_10412.t1:Sp-Hypp_355
369,HER_10413.t1:Sp-PogkL
370,HER_10415.t1:Sp-Gba_1
371,HER_10416.t1:Sp-Trpm3_4
372,HER_10417.t1.1.5f2c6cea:Sp-Pex11b
373,HER_10417.t1:Sp-Pex11b
374,HER_10418.t1:none
375,HER_1042.t1:Sp-Smarcb1
376,HER_10420.t1:Sp-Fam154b
377,HER_10422.t1:none
378,HER_10423.t1:Sp-Hypp3088
379,HER_10424.t1:Sp-Lrrc28
380,HER_10425.t1:Sp-Mett11_1
381,HER_10428.t1:none
382,HER_1043.t1:Sp-Sarm
383,HER_10430.t1:Sp-Apba1_1
384,HER_10431.t1:Sp-Sub1l
385,HER_10432.t1:Sp-76p
386,HER_10433.t1_HER_10434.t1:Sp-Trp53bp1
387,HER_10435.t1:Sp-Hypp_2280
388,HER_10436.t1:none
389,HER_10437.t1:Sp-PppL_134
390,HER_1044.t1:Sp-Z96
391,HER_10442.t1:none
392,HER_10443.t1:Sp-Nlr165
393,HER_10444.t1:Sp-Hypp_1540
394,HER_10448.t1:Sp-Rvt/Exn/End/Pp
395,HER_10449.t1:none
396,HER_1045.t1:none
397,HER_10452.t1:none
398,HER_10455.t1:Sp-Unc44_306
399,HER_10457.t1:Sp-PppL_183
400,HER_1046.t1:Sp-Rt5
401,HER_10460.t1:Sp-Hypp_1540
402,HER_10462.t1:Sp-Nlr165
403,HER_10463.t1:Sp-Muc4dL3
404,HER_10464.t1:Sp-Hypp_2430
405,HER_10465.t1:Sp-Otp
406,HER_10466.t1:none
407,HER_10467.t1:Sp-Nlr165
408,HER_10468.t1:Sp-Hypp_1540
409,HER_1047.t1:Sp-Aldoaa_1
410,HER_10472.t1:Sp-Nlr160
411,HER_10473.t1:Sp-Muc4dL3
412,HER_10475.t1:Sp-Hypp_2430
413,HER_10476.t1:Sp-Otp
414,HER_10477.t1:Sp-Hypp_1685
415,HER_10478.t1:Sp-Srcr151
416,HER_10479.t1:Sp-Sat2_6
417,HER_1048.t1:none
418,HER_10480.t1:Sp-Hypp_260
419,HER_10481.t1:none
420,HER_10483.t1:Sp-Hypp_1497
421,HER_10485.t1_HER_10486.t1.1.5f2d75b8:Sp-Hypp_1470
422,HER_10485.t1_HER_10486.t1:Sp-Hypp_1470
423,HER_10487.t1:none
424,HER_10488.t1_HER_10490.t1:Sp-ColmL
425,HER_1049.t1:Sp-Msp/Orc
426,HER_1049.t2:Sp-Msp/Orc
427,HER_1049.t3.1.5f2c6d06:Sp-Msp/Orc
428,HER_1049.t3:Sp-Msp/Orc
429,HER_10491.t1:Sp-Atr_1
430,HER_10492.t1:Sp-Nudt2
431,HER_10493.t1:Sp-Cldn12
432,HER_10495.t1:none
433,HER_10496.t1:Sp-NgrnL
434,HER_10497.t1:none
435,HER_10498.t1:Sp-Dcp2
436,HER_10499.t1:none
437,HER_105.t1:Sp-Lrp4-2
438,HER_1050.t1:Sp-Tmem248
439,HER_10500.t1:Sp-Ipo11_1
440,HER_10501.t1:Sp-Hypp_1497
441,HER_10502.t1:none
442,HER_10503.t1:Sp-Rej8A
443,HER_10504.t1:Sp-Rej8A
444,HER_10505.t1:none
445,HER_10507.t1:none
446,HER_10508.t1:none
447,HER_10509.t1:none
448,HER_1051.t1:none
449,HER_10510.t1:Sp-HyalinL_5
450,HER_10511.t1:Sp-Clect/Egf/hyalin_2
451,HER_10515.t1:Sp-Clect/Egf/hyalin_2
452,HER_10516.t1_HER_10517.t1_HER_10513.t1.1.5f2d75b9:none
453,HER_10516.t1_HER_10517.t1_HER_10513.t1:Sp-Rej8A
454,HER_10518.t1:Sp-Hypp3088
455,HER_10519.t1:Sp-Hypp3088
456,HER_10520.t1:Sp-Slc24a4
457,HER_10521.t1:Sp-Ube2q1
458,HER_10522.t1:Sp-Rps6
459,HER_10523.t1:Sp-Upf1
460,HER_10526.t1:Sp-Agtr1
461,HER_10527.t1:Sp-Smc5
462,HER_10528.t1:Sp-Mtd
463,HER_10529.t1:Sp-Gba_5
464,HER_10529.t2:Sp-Gba_5
465,HER_1053.t1:Sp-Seawi_1
466,HER_10530.t1:Sp-Gba_3
467,HER_10531.t1:Sp-TlrL_4
468,HER_10532.t1:Sp-Cdk7
469,HER_10533.t1.1.5f2c6ccc:none
470,HER_10533.t1:none
471,HER_10534.t1:Sp-Vlgr1
472,HER_10535.t1:Sp-Hypp_1967
473,HER_10536.t1:Sp-Hypp_806
474,HER_10539.t1:none
475,HER_10544.t1:Sp-Mtmr15L
476,HER_10545.t1:Sp-TnfrsfL2
477,HER_10546.t1:Sp-Abhd8
478,HER_10549.t1:Sp-Hypp_973
479,HER_1055.t1:Sp-Mmp1/3L2
480,HER_10550.t1:Sp-Hypp_973
481,HER_10551.t1:Sp-Hypp_973
482,HER_10552.t1.1.5f2c6ceb.1.5f2d75d1:Sp-Gba
483,HER_10552.t1.1.5f2c6ceb:Sp-Gba
484,HER_10552.t1:Sp-Gba_2
485,HER_10553.t1:Sp-Gba_3
486,HER_10554.t1:Sp-Sema6d
487,HER_10555.t1:Sp-Sema6d
488,HER_10556.t1:Sp-Z313_4
489,HER_10557.t1:Sp-GagpolL_7
490,HER_10558.t1:Sp-Tinp1
491,HER_10559.t1:Sp-EndrvtC
492,HER_10560.t1:Sp-EndrvtB
493,HER_10561.t1:Sp-Gon4L
494,HER_10562.t1:none
495,HER_10563.t1:Sp-Polr3gL
496,HER_10564.t1:Sp-Fkbp8
497,HER_10565.t1:none
498,HER_10566.t1:Sp-Alkbh7
499,HER_10567.t1:Sp-Dnajhc21
500,HER_10568.t1:Sp-Sarox_4
501,HER_10569.t1:Sp-PolppL_81
502,HER_1057.t1:none
503,HER_10573.t1:Sp-PolppL_39
504,HER_10574.t1:Sp-Z105
505,HER_10575.t1:Sp-Sarox_2
506,HER_10576.t1.1.5f2c6ceb:Sp-Sarox_3
507,HER_10576.t1:Sp-Sarox_3
508,HER_10577.t1:Sp-Sarox_3
509,HER_10578.t1:Sp-Sarox_1
510,HER_1058.t1:Sp-Slc24a6_1
511,HER_10581.t1:Sp-06296
512,HER_10584.t1:Sp-Tf
513,HER_10585.t1:Sp-Kiaa0317L
514,HER_10586.t3:none
515,HER_10588.t1:Sp-Tf
516,HER_10589.t1:Sp-Tf
517,HER_1059.t1:Sp-Slc24a6
518,HER_10590.t1:Sp-Sarox
519,HER_10591.t1:Sp-Sarox
520,HER_10592.t1:Sp-Hypp_2021
521,HER_10594.t1:none
522,HER_10595.t1:Sp-GbB
523,HER_10596.t1:Sp-Hypp_1215
524,HER_10597.t1:Sp-Ssr2
525,HER_10598.t1:none
526,HER_10599.t1:Sp-Mtmr12L
527,HER_106.t1:Sp-Hypp_1684
528,HER_1060.t1:Sp-NotchL_2
529,HER_10601.t1:Sp-Hypp_1540
530,HER_10602.t1:Sp-Nlr83
531,HER_10603.t1:Sp-Casp2L
532,HER_10604.t1:Sp-Nlr83
533,HER_10608.t1:Sp-PppL_167
534,HER_1061.t1:Sp-Slc45-1
535,HER_10611.t1:Sp-TpaseL_33
536,HER_10613.t1:Sp-TpaseL_33
537,HER_10618.t1:Sp-Rt5
538,HER_1062.t1:Sp-Egfia_1
539,HER_10623.t1:none
540,HER_10624.t1:Sp-06296
541,HER_10625.t1:Sp-Tf
542,HER_10626.t1:Sp-06296
543,HER_10627.t1:Sp-Sarox
544,HER_10628.t1:none
545,HER_1063.t1:Sp-Hypp_139
546,HER_10632.t1:none
547,HER_10633.t1:Sp-GbB
548,HER_10634.t1:Sp-Hypp_1215
549,HER_10635.t1:Sp-Ssr2
550,HER_10636.t1:none
551,HER_10637.t1:Sp-Mtmr12L
552,HER_10639.t1:Sp-Nlr83
553,HER_1064.t1:none
554,HER_10640.t1:Sp-Nlr83
555,HER_10641.t1:Sp-Casp2L
556,HER_10642.t1:none
557,HER_10643.t1:none
558,HER_10645.t1:Sp-Hypp_1540
559,HER_10648.t1:none
560,HER_10649.t1:Sp-Hypp_1459
561,HER_1065.t1:Sp-Thoc6h
562,HER_10651.t1:Sp-PppL_120
563,HER_10654.t1:Sp-PolppL_64
564,HER_10655.t1:Sp-Hypp_1540
565,HER_10656.t1:Sp-Hypp_1540
566,HER_10657.t1:Sp-Casp2L
567,HER_10657.t2:Sp-Casp2L
568,HER_10659.t1:Sp-Hypp_2146
569,HER_1066.t1:Sp-Vps18h
570,HER_10660.t1:Sp-Hypp_2701
571,HER_10662.t1:Sp-Hypp_1540
572,HER_10663.t1:none
573,HER_10665.t1:Sp-Hypp_2947
574,HER_10666.t1:none
575,HER_10668.t1:Sp-PppL_179
576,HER_10668.t2:Sp-PppL_179
577,HER_10669.t1:Sp-Tpase4
578,HER_1067.t1:none
579,HER_10670.t1:Sp-TpaseL_14
580,HER_10673.t1:Sp-Unc44_346
581,HER_10674.t1:Sp-Hypp_1459
582,HER_10680.t1:none
583,HER_10683.t1:Sp-Hypp_1540
584,HER_10684.t1:Sp-Hypp_1540
585,HER_10686.t1.1.5f2c6cec.1.5f2d75d2:Sp-Hypp_1540
586,HER_10686.t1.1.5f2c6cec:Sp-Hypp_1540
587,HER_10686.t1:Sp-Hypp_1540
588,HER_10687.t1:Sp-Chd1
589,HER_10687.t2:Sp-Chd1
590,HER_10687.t3:Sp-Chd1
591,HER_10688.t1:Sp-Rgma
592,HER_10689.t1:Sp-Hypp_1107
593,HER_1069.t1:Sp-Ugt2b1_7
594,HER_10690.t1:Sp-Hypp_1540
595,HER_10693.t1:Sp-Nlr83
596,HER_10694.t1:Sp-Nlr137
597,HER_10698.t1_HER_10697.t1:Sp-Unc44_346
598,HER_10699.t1:Sp-Mtmr12L
599,HER_1070.t1:Sp-FumaL
600,HER_10702.t1:Sp-Nlr83
601,HER_10703.t1:Sp-Hypp_1540
602,HER_10704.t1:Sp-Nlr83
603,HER_10704.t2:Sp-Nlr83
604,HER_10705.t1:Sp-Casp2L
605,HER_10706.t1:Sp-Nlr83
606,HER_10707.t1:Sp-Hypp_1540
607,HER_1071.t1:Sp-Hpd_1
608,HER_10716.t1:none
609,HER_10717.t1:none
610,HER_1072.t1:Sp-Hnf1_1
611,HER_10720.t1:Sp-Unc44_197
612,HER_10723.t1:Sp-Hypp_1203
613,HER_10724.t1:Sp-Hypp_1540
614,HER_10725.t1:Sp-Hypp_1540
615,HER_10726.t1:Sp-Chd1
616,HER_10726.t2:Sp-Chd1
617,HER_10726.t3:Sp-Chd1
618,HER_10727.t1.1.5f2c6ccd:Sp-Rgma
619,HER_10727.t1:Sp-Rgma
620,HER_10731.t1:none
621,HER_10732.t2:Sp-Htr1bL_1
622,HER_10732.t3:Sp-Htr1bL_1
623,HER_10733.t1:Sp-Chrm3L_10
624,HER_10734.t1:none
625,HER_10735.t1:Sp-Htr1bL_2
626,HER_10735.t2:Sp-Chrm3L_12
627,HER_10736.t1:Sp-Htr1bL_1
628,HER_10738.t1.1.5f2c6cec:Sp-Kiaa1797L
629,HER_10738.t1.2.5f2c6cec.1.5f2d75d2:Sp-Kiaa1797L
630,HER_10738.t1.2.5f2c6cec:Sp-Kiaa1797L
631,HER_10738.t1:Sp-Kiaa1797L
632,HER_10739.t1:Sp-Chrm2L_3
633,HER_1074.t1:Sp-Srcab
634,HER_1074.t2.1.5f2c6d07:Sp-Srcab
635,HER_1074.t2:Sp-Srcab
636,HER_10740.t1:Sp-Fam151b
637,HER_10741.t1:Sp-Snx27
638,HER_10741.t2:none
639,HER_10743.t1:Sp-Slc25a46_1
640,HER_10744.t1:Sp-Psma4
641,HER_10746.t1:Sp-CskL
642,HER_10747.t1:Sp-Rnf126
643,HER_1075.t1:Sp-Scrap
644,HER_10751.t1:Sp-Commd10
645,HER_10752.t1:Sp-Tars
646,HER_10752.t2:Sp-Tars
647,HER_10758.t1:Sp-Sema6
648,HER_10758.t2:Sp-Sema6
649,HER_10758.t3:Sp-Sema6_1
650,HER_10759.t1:Sp-Fsialin
651,HER_1076.t1:Sp-Pla2g3
652,HER_10760.t1:Sp-Klhl12L_2
653,HER_10761.t1:Sp-Tmem186
654,HER_10762.t1:Sp-JmyL
655,HER_10764.t1:Sp-Ugt2b7_1
656,HER_10765.t1:Sp-SemaB
657,HER_10766.t1:Sp-Ugt1L_2
658,HER_10767.t1:none
659,HER_10769.t1:Sp-PolypL_90
660,HER_1077.t1:Sp-Hypp_2412
661,HER_10771.t1:Sp-Hypp_2701
662,HER_10772.t1_HER_10774.t1:Sp-St8sia9L
663,HER_10776.t1:Sp-Hypp_523
664,HER_10777.t1:Sp-Ugt2b31
